,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
466,Valentin Carboni,ar ARG,MF,Genoa,it Serie A,20,2005,4,0,6,2,33.3,1.5,0.5,0,0,0,0,,
467,Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,28,1997,4,0,0,0,,0,0,,,0,0,,
468,Alessandro Cardinali,it ITA,FW,Parma,it Serie A,19,2006,0.5,0,0,0,,0,0,,,0,0,,
469,Rio Cardines,tt TRI,MF,Crystal Palace,eng Premier League,19,2006,1,0,1,0,0,1,0,0,,0,0,,
470,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,26,1999,21.9,1,18,5,27.8,0.82,0.23,0.06,0.2,0,0,,
471,Fábio Cardoso,pt POR,DF,Sevilla,es La Liga,31,1994,3.3,0,0,0,,0,0,,,0,0,,
472,Johnny Cardoso,us USA,MF,Atlético Madrid,es La Liga,23,2001,9.9,0,2,0,0,0.2,0,0,,0,0,,
473,Maycon Cardozo,br BRA,MF,Bayern Munich,de Bundesliga,16,2008,0.4,0,0,0,,0,0,,,0,0,,
474,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,28,1996,13.5,1,8,1,12.5,0.59,0.07,0.13,1,0,0,,
475,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33,1992,2,0,0,0,,0,0,,,0,0,,
476,Diego Carlos,br BRA,DF,Como,it Serie A,32,1993,21.7,1,8,2,25,0.37,0.09,0.13,0.5,0,0,,
